Behavioral Variable,Condition,Fixel-based,Base Metric,P-Value,Coefficient,Standard Error,T-Statistic,"Confidence intervals 
(lower, upper)",F-Statistic,Adjusted R-Squared
Isochrony introduced,600_5,fd,ST_PREM,0.510000,10.92,16.36,0.67,"-22.10,43.93",0.45,-0.03
Isochrony introduced,600_5,fd,ST_PREC,0.010000,54.7,19.5,2.81,"15.35,94.05",4.2,0.13
Isochrony introduced,600_5,fd,CP,0.120000,36.72,23.27,1.58,"-10.25,83.68",1.48,0.02
Isochrony introduced,600_5,log_fc,T_PREM,0.910000,0.9,7.89,0.11,"-15.03,16.83",0.16,-0.06
Isochrony introduced,600_5,log_fc,T_PREC,0.440000,-4.52,5.75,-0.79,"-16.13,7.09",0.37,-0.05
Isochrony introduced,600_5,log_fc,ST_PREM,0.930000,0.66,7.03,0.09,"-13.54,14.86",0.16,-0.06
Isochrony introduced,600_5,log_fc,ST_PREC,0.460000,-4.46,5.94,-0.75,"-16.45,7.53",0.35,-0.05
Isochrony introduced,600_5,log_fc,CP,0.250000,-6.4,5.49,-1.16,"-17.49,4.70",0.62,-0.03
Isochrony introduced,600_5,fdc,T_PREM,0.690000,4.37,11.02,0.4,"-17.90,26.63",0.21,-0.06
Isochrony introduced,600_5,fdc,T_PREC,0.230000,11.79,9.61,1.23,"-7.62,31.20",0.67,-0.02
Isochrony introduced,600_5,fdc,ST_PREM,0.630000,5.12,10.52,0.49,"-16.12,26.35",0.24,-0.05
Isochrony introduced,600_5,fdc,ST_PREC,0.340000,10.21,10.59,0.96,"-11.18,31.59",0.47,-0.04
Isochrony introduced,600_5,fdc,CP,0.900000,1.33,10.88,0.12,"-20.63,23.30",0.16,-0.06
